	ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	AGFB_L005	AGFB_L010	AGFB_N003	BHEB_G002	BHEB_G003	BHEB_G006	BHEB_G007	BHEB_G008	BHEB_G009	BHEB_N002	BHEB_N004	BHEB_N005	BHEB_N006	BHEB_N208	CCNB_G004	CCRB_N001	CCRB_N002	CCRB_N003	CCRB_N006	CCRB_N007	HDRB_G001	HDRB_G002	HDRB_G005	HDRB_G006	HDRB_G007	HDRB_G010	HDRB_G202	HHBB_G002	HHBB_G010	HHBB_L008	HHBB_L010	HUOB_G012	HUOB_G022	HUOB_G062	HUOB_G092	HUOB_G112	KNOB_L005	KNOB_L009	KNOB_L010	NFWB_L006	NFWB_L010	NFWB_N002	NFWB_N003	NFWB_N006	NFWB_N008	NFWB_N010	OPNZ_L103	OPNZ_L104	OPNZ_L105	OSKB_L001	SDSB_G002	SDSB_G003	SDSB_G005	SDSB_G008	SDSB_G009	SDSB_G010	SPLB_L001	SPLB_L002	SPLB_L003	SPLB_L005	SPLB_L006	SPLB_L007	SPLB_L009	TRTZ_L001	TRTZ_L003	TRTZ_L004	TRTZ_L005	TRTZ_L006	TWGB_G001	TWGB_G002	TWGB_G006	TWGB_G009	WCFB_G004	WCFB_G006	WCFB_G008	WCFB_G009	WCFB_G012	WCFB_L001	WCFB_L007	WCFB_L009	WSHB_G002	WSHB_G003	WSHB_G004	WSHB_G005	WSHB_G007	WSHB_G008	WSHB_G010	WSHB_G205	AGFB_L001	AGFB_L002	AGFB_L004	AGFB_L006	AGFB_L007	AGFB_L011	AGFB_N004	AGFB_N005	AGFB_N007	AGFB_N008	AGFB_N009	BHEB_G001	BHEB_G005	BHEB_N001	BHEB_N007	BHEB_N008	CCRB_N004	CCRB_N005	CCRB_N008	CCRB_N009	CFZZ_G004	CFZZ_G008	HDRB_G003	HDRB_G004	HDRB_G008	HDRB_G009	HHBB_G001	HHBB_G004	HHBB_G005	HHBB_G009	HHBB_L002	HHBB_L003	HHBB_L009	HULB_L002	HUOB_G082	HUOB_N001	HUOB_N003	HUOB_N005	KNOB_L001	KNOB_L002	KNOB_L003	KNOB_L004	KNOB_L008	LMZZ_G002	LMZZ_G004	LMZZ_G006	LMZZ_G008	NFWB_L004	NFWB_N001	NFWB_N007	NFWB_N009	OPNZ_L010	OPNZ_L101	OPNZ_L107	OSKB_L002	OSKB_L004	OSKB_L005	OSKB_L007	SDSB_B001	SDSB_B002	SDSB_B005	SDSB_G004	TRTZ_L002	TRTZ_L010	TWGB_G004	TWGB_G007	TWGB_G008	WCFB_G003	WCFB_G005	WCFB_G007	WCFB_G010	WCFB_G011	WCFB_G211	WCFB_L004	WCFB_L006	WCFB_L010	WCFB_L011	WSHB_G001	WSHB_G006	WSHB_G009	YCNB_L001	YCNB_L002	YCNB_L004	YCNB_L005	YCNB_L007	YCNB_L008	YCNB_L009	YCNB_L010
11	ASV_11	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	34970	1032	0	0	0	2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	151	0	0	0	32249	0	0	0	0	0	0	0	0	0	0	0	0
12	ASV_12	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__heimaeyensis	0	0	0	157	1421	0	0	0	3192	0	3	0	31747	0	0	2609	0	0	0	0	0	0	0	4457	0	235	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	746	0	0	171	0	695	0	574	448	5486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1435	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0
13	ASV_13	k__Fungi	NA	NA	NA	NA	NA	NA	0	25446	0	0	0	0	0	0	0	0	0	0	0	0	0	4033	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	848	681	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	10883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	ASV_14	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	0	0	0	43	1322	0	0	0	464	0	0	0	19723	0	0	300	0	0	0	0	0	0	0	2789	0	21456	0	0	589	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1972	251	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	223	0	0	0	0	0
15	ASV_15	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__cladosporioides	0	279	143	0	0	0	0	0	0	0	0	0	0	0	0	7988	0	0	0	0	0	0	8448	0	0	545	0	0	26	0	0	30	0	0	82	380	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	28	329	0	0	0	0	0	2524	0	89	346	0	0	0	2936	0	0	8646	436	0	0	0	0	0	0	56	0	0	54	0	0	0	588	0	0	118	0	0	114	0	228	0	41	0	0	0	0	193	0	987	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1339	0	112	231	0	0	7	361	127	0	27	48	21	0	78	0	0	6490	0	370	65	2638	0	0	0	0	0	0	0	0
16	ASV_16	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Protomycetaceae	g__Protomyces	s__inouyei	0	0	0	20	814	0	0	0	567	0	0	0	1063	0	0	2229	0	0	0	0	0	0	1152	80	0	128	0	0	0	0	19911	39	0	0	0	0	0	0	0	0	0	0	0	243	1264	0	0	0	0	0	0	1201	198	0	0	0	0	0	0	0	0	0	0	0	76	155	0	109	0	2	0	0	0	276	0	322	0	0	0	548	0	0	0	1575	0	0	0	490	0	0	74	0	0	0	0	0	0	0	254	167	0	0	0	1	0	871	0	44	0	0	0	0	1	0	0	0	0	0	0	13	1592	0	0	0	0	43	307	3397	29	0	289	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	788	191	620	2351	540	406	18	0	0	0	0	0	33	0	0	0	0	1842	0	0	0	190	0	0	0	0	0	0	0	0
17	ASV_17	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__dimennae	0	0	2700	0	0	0	0	0	89	0	0	0	0	4	0	0	0	0	0	0	18	0	451	1347	0	0	0	0	0	0	319	464	108	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	126	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2249	4021	171	1315	0	0	0	16956	78	10	0	0	0	0	0	0	0	0	0	7	0	0	762	918	47	0	2333	0	0	0	0	0	0	0	0	0	0	0	0	0	2999	0	0	0	0	0	0	234	0	0	0	65	0	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	356	1677	0	0	0	0	0	0	232	0	845	719	164	0	0	1215	0	0	0	1104	0	0	0	0	0	0	0	0
18	ASV_18	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	s__pinetorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42806	204	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	ASV_19	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neostagonospora	s__caricis	0	734	7505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	183	0	0	0	0	31	0	0	0	0	0	0	0	1022	937	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4210	22	460	31	0	0	0	3588	5	0	0	0	0	0	0	0	0	0	238	33	0	6366	14	214	0	4692	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	21	151	268	0	0	0	0	0	1016	17	195	0	0	0	3258	0	0	0	33	0	0	0	0	0	0	0	0
20	ASV_20	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	s__watticus	0	0	0	48	782	0	0	0	9590	0	0	0	4561	0	0	8183	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	65	0	3455	1222	0	0	903	0	647	0	2041	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	2610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	732	0	0	0	0
21	ASV_21	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Stemphylium	s__globuliferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	33044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	ASV_22	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Amphisphaeriaceae	g__Microdochium	s__nivale	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	ASV_23	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Cryptococcus	s__festucosus	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3658	0	0	0	0	0	0	0	0	0	0	0	0	168	716	0	0	0	0	0	0	125	712	0	0	0	0	0	0	0	0	0	0	137	0	1078	0	0	0	0	0	0	127	582	44	0	0	0	4	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	414	0	0	0	0	0	191	0	2452	0	0	0	0	0	0	0	0	0	0	0	0	22	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	541	0	575	254	114	0	0	0	53	0	0	0	86	41	0	0	4722	0	0	0	0	0	0	0	0	0	0	0	0
24	ASV_24	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__leptinellae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1852	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	1321	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	13777	0	0	0	0	0	0	0	0	0	0	0	60
25	ASV_25	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0	0	0	0	17055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
